prediction,sentence,audio_id,openai/whisper-small,openai/whisper-large-v3,BELLE-2/Belle-whisper-large-v3-zh
客人喜欢老花，喜欢经典款，追求性价比，之前买过老花的包，裤子喜欢喜欢小now，喜欢爱马仕，喜欢普拉达。,客人喜欢老花，喜欢经典款，追求性价比，之前买过老花的包，gucci喜欢喜欢channel，喜欢爱马仕，喜欢prada。,575837,客人喜欢老花 喜欢经典款 追求性价格之前买过老花的包 枯萨喜欢 喜欢小买好喜欢爱马士喜欢普拉达,客人喜欢老花喜欢经典款追求性价比之前买过老花的包Koozie喜欢喜欢Chanel喜欢爱马仕喜欢Prada,客人喜欢老花喜欢经典款追求性价比之前买过老花的包库茨喜欢喜欢小奈奥喜欢爱马仕喜欢普拉达
女士，穿凡客雅宝昌巴宝burberry，喜欢大包需要放iPad，喜欢使用办公。,女士，穿凡客雅宝穿巴宝burberry，喜欢大包需要放iPad，喜欢实用办公。,578560,女士喜欢穿反克牙包穿八宝verberry喜欢大宝需要放apad的喜欢使用办公,女士喜歡穿反客鴨包穿巴巴巴巴里喜歡大包需要放iPad喜歡食用辦公,女士喜欢穿反客牙包穿巴包喜欢大包需要放ipad喜欢使用办公
嗯，喜欢买经典老牌，然后买过想要牛角包，然后买皮带穿丝裤，先生喜欢买春呢，喜欢牛仔的款式，喜欢黑色，喜欢拿诺以。,嗯，喜欢买经典老花，然后买过想要牛角包，然后买皮带穿丝裤，先生喜欢买trainer，喜欢牛仔的款式，喜欢黑色，喜欢nano noe。,724033,"喜欢买经典老花,买过想要牛脚包,买皮带,穿C裤,喜欢买Twin,喜欢牛仔的款式,喜欢黑色,喜欢Nanonori,",喜欢买经典老花然后买过想要牛角包然后买皮带穿C裤先是喜欢买TRAINER喜欢牛仔的款式喜欢黑色喜欢NANO NOI,喜欢买经典老花然后买过想要牛角包然后买皮带穿丝裤先是喜欢买吹捺喜欢牛仔的款式喜欢黑色喜欢拿挪挪椅
送给女朋友36.5，喜欢老婆，选件喜欢穿的，喜欢lb喜欢百搭喜欢凉鞋。,送给女朋友36.5，喜欢老花经典，喜欢trainer，喜欢lv，喜欢百搭喜欢凉鞋。,722882,送人女朋友36.5喜欢老花喜欢纯的喜欢LV喜欢百搭喜欢蓝线,送给女朋友36.5喜欢老花喜欢金钱喜欢圈子喜欢LV喜欢百搭喜欢蓝鞋,送给女朋友三十六点五喜欢老花喜欢金姐喜欢春暖喜欢LV喜欢百搭喜欢男鞋
现在还有没有老公喜欢男装喜欢花哨一些的男装，喜欢男宝喜欢哪些？自己喜欢女包喜欢女鞋。,现在还有没有，老公喜欢男装，喜欢花哨一些的男装，喜欢男包，喜欢男鞋，自己喜欢女包喜欢女鞋。,721733,"老公喜欢男装,喜欢花少一些的男装喜欢男包,喜欢男鞋,自指喜欢女包,喜欢女鞋",老公喜欢男装喜欢花哨一些的男装喜欢男包喜欢男鞋自己喜欢女包喜欢女鞋,老公喜欢男装喜欢花少一些的男装喜欢男包喜欢男鞋自己喜欢女包喜欢女鞋
购买Google赠送女士礼物，男士鞋码39。,"购买go-14,赠送女士礼物，男士鞋码39。",721280,各买狗狗玩for贞送女士礼物男士鞋马39,购买狗狗玩4赠送女士礼物男士鞋码39,购买狗狗玩复我赠送女士礼物男士鞋码三十九
客人45岁左右，年轻时尚，买了BD20喜欢灰色，喜欢牛皮，给女儿买了情人节限定手链喜欢acc，喜欢耳钉。,客人45岁左右，年轻时尚，买了speedy20喜欢灰色，喜欢牛皮，给女儿买了情人节限定手链喜欢acc，喜欢耳钉。,576523,客人45岁左右年轻时少买了Spedi20喜欢灰色喜欢牛皮给女儿买了情人节限定手验喜欢ACC喜欢耳钉,客人45岁左右年轻时尚买了speedy20喜欢灰色喜欢牛皮给女儿买了情人节限定首宴喜欢ACC喜欢耳钉,客人四十五岁左右年轻时尚买了斯皮迪二零喜欢灰色喜欢牛皮给女儿买了情人节限定手印喜欢ACC喜欢耳钉
不过买过拉诺斯BD有整理需求，喜欢老花，可推荐皮质宝宝。,不过买过nano speedy有整理需求，喜欢老花，可推荐皮质包包。,583607,购买过Nano Speedy有赠礼需求喜欢老花和推荐皮质包包,购买过Nano Speedy有正理需求喜欢老花可推荐皮质包包,购买过nano speedy有赠礼需求喜欢老花可推荐皮质包包
购买过AV，喜欢爆款，喜欢小宝和推荐皮质宝宝，年轻。,购买过ivy，喜欢爆款，喜欢小包，可推荐皮质包包，年轻。,583606,购买过艾薇喜欢包款喜欢小包可推荐皮质宝宝年轻,购买过艾未喜欢包款喜欢小包可推荐皮质宝宝年轻,购买过艾薇喜欢包款喜欢小包可推荐皮质包包年轻
年轻女性爱好旅游爱好瑜伽，喜欢香奈儿，喜欢sea line。,年轻女性，爱好旅游，爱好瑜伽，喜欢channel，喜欢celine。,583582,"年輕女性,愛好旅遊,愛好瑜伽,喜歡香奈兒,喜歡Seline。","年輕女性,愛好旅遊,愛好瑜伽,喜歡香奈兒,喜歡Celine。",年轻女性爱好旅游爱好瑜伽喜欢香奈儿喜欢Celine
年轻女性喜欢歌曲，喜欢迪奥，爱好美食，买过经典款女包，法棍到货通知。,年轻女性，喜欢歌曲，喜欢迪奥，爱好美食，买过经典款女包，法棍到货通知。,585599,"年輕女性喜歡Googee,喜歡迪奧,愛好美食,買過經典款女包,法棍道或通知。","年輕女性,喜歡 Gucci,喜歡 Dior,愛好美食,買過經典款女包,法棍到貨通知。",年轻女性喜欢Gucci喜欢迪欧爱好美食买过经典款女包法棍到货通知
喜欢color blue zone。,喜欢color blossom，喜欢小众款,587405,喜欢 开了不如中喜欢小众款,喜欢color blue 纵喜欢小纵款哎这个左边的,这个点说不点喜欢看了不如中要喜欢小众款唉这个左边的
喜欢凡客雅宝，喜欢施华洛世奇。,喜欢凡客雅宝，喜欢施华洛世奇。,587562,喜歡反客牙堡喜歡獅華洛士奇,喜欢凡克雅宝喜欢诗华落世奇,喜欢反客雅宝喜欢诗华落世奇
点中年女性，爱好美食，爱好穿搭爱好看电影，喜欢爱马仕，喜欢低位买过女包法官到货通知。,点中年女性，爱好美食，爱好穿搭爱好看电影，喜欢爱马仕，喜欢迪奥，买过女包，法棍到货通知。,587995,點 中年女性 愛好美食 愛好穿搭 愛好看電影喜歡愛馬事 喜歡Dior買過女包 法棍到貨通知,點中年女性愛好美食愛好穿搭愛好看電影喜歡愛馬仕喜歡Dior買過女包法棍到貨通知,点中年女性爱好美食爱好穿搭爱好看电影喜欢爱马仕喜欢迪沃尔买过女包法棍到货通知
买过灰色大号capacity送妈妈，买过living，喜欢牛皮的质感，追求质感，比较爽气。,"买过灰色大号capucines,送妈妈，买过vavin，喜欢牛皮的质感，追求质感，比较爽气。",642793,買過灰色大號CAPUZIN送媽媽買過Vavine喜歡牛皮的質感追求質感比較上氣,買過灰色大號 capucine 送媽媽買過Vivienne喜歡牛皮的質感追求質感比較爽氣,买过灰色大号送妈妈买过喜欢牛皮的质感追求质感比较爽气
气质优雅，女性化留学生，文化高，精美买过set，喜欢迷你包，喜欢小包斜挎，她的妈妈，嗯微胖，优雅，她的妈妈喜欢大包。,"气质优雅，女性化,留学生，文化高，精美,买过side trunk，喜欢迷你包，喜欢小包斜挎，她的妈妈，嗯微胖，优雅，她的妈妈喜欢大包。",710217,"气质优雅,女性化,留学生,文化高,精美买过Side Chalk,喜欢迷你包,喜欢小包,协跨他的妈妈,微胖,优雅他的妈妈喜欢大包",气质优雅女性化留学生文化高精美买过Satrunk喜欢迷你包喜欢小包鞋挎他的妈妈微胖优雅他的妈妈喜欢大包,气质优雅女性化留学生文化高精美买过Celltrunk喜欢迷你包喜欢小包鞋挎他的妈妈呃微胖优雅他的妈妈喜欢大包
送妈妈，喜欢老花，喜欢经典，喜欢大容量，喜欢大象，会喜欢有质感，喜欢有肩带，需要发票。,送妈妈，喜欢老花，喜欢经典，喜欢大容量，喜欢大象灰，会喜欢有质感，喜欢有肩带，需要发票。,623001,送妈妈喜欢老花喜欢经典喜欢大容量喜欢大象会喜欢有质感喜欢有肩带需要发票,送妈妈喜欢老花喜欢经典喜欢大容量喜欢大相会喜欢有质感喜欢有肩带需要发票,宋妈妈喜欢老花喜欢经典喜欢大容量喜欢大相会喜欢有质感喜欢有肩带需要发票
